,links
224,https://www.mycareersfuture.sg/job/senior-executive-assistant-manager-marketing-communications-m1-c4d15e387a6512ad267f47ff46ebd731
225,https://www.mycareersfuture.sg/job/digital-content-producer-aetn-asia-b24974d89eed03a490bd23bca4b6aa98
226,https://www.mycareersfuture.sg/job/developer-oversea-chinese-banking-corporation-72eb5f2fe8f302d9bceba93a3ac0fec3
227,https://www.mycareersfuture.sg/job/information-technology-support-officer-goldtech-resources-0fe97b60bc8e5ba415303ca1ed79e72a
228,https://www.mycareersfuture.sg/job/strategic-planning-analyst-nep-broadcast-solutions-49ec9099b8a0a8a5bf1e24bf6ce12bbd
229,https://www.mycareersfuture.sg/job/junior-creature-td-artist-lucasfilm-animation-company-singapore-bv-71da1c1117232294c7058576d036fc57
230,https://www.mycareersfuture.sg/job/hardware-development-senior-engineer-xilinx-asia-pacific-bcb3e3db2a44097e301cac3b3c984a2e
231,https://www.mycareersfuture.sg/job/sap-hr-success-factors-project-managers-capgemini-singapore-24328b07f3ac3fb49df7654da079d9b6
232,https://www.mycareersfuture.sg/job/hr-assistant-rex-marine-engineering-b89cfff19754b6e9c5a18ec5f6f05077
233,https://www.mycareersfuture.sg/job/admin-assistant-machspeed-human-resources-b20c34d3abf6061a0e1a8b2a01736116
234,https://www.mycareersfuture.sg/job/senior-application-designer-lead-senior-ux-designer-palo-singapore-bc9ad9d75493281d512759d4f6c8006b
235,https://www.mycareersfuture.sg/job/research-associate-nanyang-technological-university-c11de32eae16056bb8abc8655f2dfc85
236,https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-105e1a7a5f2d3c480144bb2de64d86d9
237,https://www.mycareersfuture.sg/job/senior-project-manager-veeva-crm-hcl-singapore-bb455aa0e8eaa15f7ab12a67307b0b56
